row_id,row_name,date,items
00L,NHS NORTHUMBERLAND CCG,2017-04-01,6151
00N,NHS SOUTH TYNESIDE CCG,2017-04-01,2756
00P,NHS SUNDERLAND CCG,2017-04-01,6002
00Q,NHS BLACKBURN WITH DARWEN CCG,2017-04-01,2661
00R,NHS BLACKPOOL CCG,2017-04-01,4041
00T,NHS BOLTON CCG,2017-04-01,3249
00V,NHS BURY CCG,2017-04-01,2629
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,2017-04-01,1773
00Y,NHS OLDHAM CCG,2017-04-01,3661
01A,NHS EAST LANCASHIRE CCG,2017-04-01,6023
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",2017-04-01,2825
01E,NHS GREATER PRESTON CCG,2017-04-01,2162
01F,NHS HALTON CCG,2017-04-01,2149
01G,NHS SALFORD CCG,2017-04-01,5722
01H,NHS NORTH CUMBRIA CCG,2017-04-01,3974
01J,NHS KNOWSLEY CCG,2017-04-01,2838
01K,NHS MORECAMBE BAY CCG,2017-04-01,4276
01T,NHS SOUTH SEFTON CCG,2017-04-01,2195
01V,NHS SOUTHPORT AND FORMBY CCG,2017-04-01,1719
01W,NHS STOCKPORT CCG,2017-04-01,3777
01X,NHS ST HELENS CCG,2017-04-01,3118
01Y,NHS TAMESIDE AND GLOSSOP CCG,2017-04-01,4209
02A,NHS TRAFFORD CCG,2017-04-01,2792
02E,NHS WARRINGTON CCG,2017-04-01,1682
02G,NHS WEST LANCASHIRE CCG,2017-04-01,1616
02H,NHS WIGAN BOROUGH CCG,2017-04-01,3958
02M,NHS FYLDE AND WYRE CCG,2017-04-01,2948
02P,NHS BARNSLEY CCG,2017-04-01,3677
02Q,NHS BASSETLAW CCG,2017-04-01,1502
02T,NHS CALDERDALE CCG,2017-04-01,2782
02X,NHS DONCASTER CCG,2017-04-01,4471
02Y,NHS EAST RIDING OF YORKSHIRE CCG,2017-04-01,2669
03F,NHS HULL CCG,2017-04-01,3953
03H,NHS NORTH EAST LINCOLNSHIRE CCG,2017-04-01,2064
03K,NHS NORTH LINCOLNSHIRE CCG,2017-04-01,1742
03L,NHS ROTHERHAM CCG,2017-04-01,2805
03N,NHS SHEFFIELD CCG,2017-04-01,6391
03Q,NHS VALE OF YORK CCG,2017-04-01,2650
03R,NHS WAKEFIELD CCG,2017-04-01,4318
03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,2017-04-01,2328
04C,NHS LEICESTER CITY CCG,2017-04-01,2473
04V,NHS WEST LEICESTERSHIRE CCG,2017-04-01,2873
04Y,NHS CANNOCK CHASE CCG,2017-04-01,1340
05D,NHS EAST STAFFORDSHIRE CCG,2017-04-01,1196
05G,NHS NORTH STAFFORDSHIRE CCG,2017-04-01,2531
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,2017-04-01,2298
05V,NHS STAFFORD AND SURROUNDS CCG,2017-04-01,1309
05W,NHS STOKE ON TRENT CCG,2017-04-01,4078
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,2017-04-01,8866
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,2017-04-01,4590
06L,NHS IPSWICH AND EAST SUFFOLK CCG,2017-04-01,4372
06N,NHS HERTS VALLEYS CCG,2017-04-01,4117
06Q,NHS MID ESSEX CCG,2017-04-01,2564
06T,NHS NORTH EAST ESSEX CCG,2017-04-01,3680
07G,NHS THURROCK CCG,2017-04-01,1236
07H,NHS WEST ESSEX CCG,2017-04-01,1691
07K,NHS WEST SUFFOLK CCG,2017-04-01,2781
09D,NHS BRIGHTON AND HOVE CCG,2017-04-01,3788
10Q,NHS OXFORDSHIRE CCG,2017-04-01,5429
10R,NHS PORTSMOUTH CCG,2017-04-01,1922
11J,NHS DORSET CCG,2017-04-01,6195
11M,NHS GLOUCESTERSHIRE CCG,2017-04-01,5910
11N,NHS KERNOW CCG,2017-04-01,5929
11X,NHS SOMERSET CCG,2017-04-01,5147
12F,NHS WIRRAL CCG,2017-04-01,4483
13T,NHS NEWCASTLE GATESHEAD CCG,2017-04-01,9289
14L,NHS MANCHESTER CCG,2017-04-01,6889
14Y,NHS BUCKINGHAMSHIRE CCG,2017-04-01,3143
15A,NHS BERKSHIRE WEST CCG,2017-04-01,2945
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",2017-04-01,7654
15E,NHS BIRMINGHAM AND SOLIHULL CCG,2017-04-01,9530
15F,NHS LEEDS CCG,2017-04-01,6120
15M,NHS DERBY AND DERBYSHIRE CCG,2017-04-01,11699
15N,NHS DEVON CCG,2017-04-01,11768
16C,NHS TEES VALLEY CCG,2017-04-01,11804
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,2017-04-01,7161
26A,NHS NORFOLK AND WAVENEY CCG,2017-04-01,14387
27D,NHS CHESHIRE CCG,2017-04-01,8467
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,2017-04-01,6757
36L,NHS SOUTH WEST LONDON CCG,2017-04-01,7787
42D,NHS NORTH YORKSHIRE CCG,2017-04-01,3716
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,2017-04-01,9759
70F,NHS WEST SUSSEX CCG,2017-04-01,5895
71E,NHS LINCOLNSHIRE CCG,2017-04-01,9966
72Q,NHS SOUTH EAST LONDON CCG,2017-04-01,12563
78H,NHS NORTHAMPTONSHIRE CCG,2017-04-01,8320
84H,NHS COUNTY DURHAM CCG,2017-04-01,11544
91Q,NHS KENT AND MEDWAY CCG,2017-04-01,17433
92A,NHS SURREY HEARTLANDS CCG,2017-04-01,4400
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",2017-04-01,8580
93C,NHS NORTH CENTRAL LONDON CCG,2017-04-01,10007
97R,NHS EAST SUSSEX CCG,2017-04-01,6150
99A,NHS LIVERPOOL CCG,2017-04-01,7789
99C,NHS NORTH TYNESIDE CCG,2017-04-01,4264
99E,NHS BASILDON AND BRENTWOOD CCG,2017-04-01,1777
99F,NHS CASTLE POINT AND ROCHFORD CCG,2017-04-01,1093
99G,NHS SOUTHEND CCG,2017-04-01,1028
A3A8R,NHS NORTH EAST LONDON CCG,2017-04-01,9700
B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,2017-04-01,8651
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,2017-04-01,13602
D4U1Y,NHS FRIMLEY CCG,2017-04-01,4135
D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG",2017-04-01,11568
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",2017-04-01,7913
M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN CCG",2017-04-01,3611
W2U3Z,NHS NORTH WEST LONDON CCG,2017-04-01,10091
X2C4Y,NHS KIRKLEES CCG,2017-04-01,4096
00L,NHS NORTHUMBERLAND CCG,2017-05-01,6611
00N,NHS SOUTH TYNESIDE CCG,2017-05-01,3046
00P,NHS SUNDERLAND CCG,2017-05-01,6524
00Q,NHS BLACKBURN WITH DARWEN CCG,2017-05-01,2902
00R,NHS BLACKPOOL CCG,2017-05-01,4177
00T,NHS BOLTON CCG,2017-05-01,3468
00V,NHS BURY CCG,2017-05-01,2799
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,2017-05-01,1886
00Y,NHS OLDHAM CCG,2017-05-01,4270
01A,NHS EAST LANCASHIRE CCG,2017-05-01,6496
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",2017-05-01,3169
01E,NHS GREATER PRESTON CCG,2017-05-01,2262
01F,NHS HALTON CCG,2017-05-01,2178
01G,NHS SALFORD CCG,2017-05-01,6175
01H,NHS NORTH CUMBRIA CCG,2017-05-01,4306
01J,NHS KNOWSLEY CCG,2017-05-01,3182
01K,NHS MORECAMBE BAY CCG,2017-05-01,4637
01T,NHS SOUTH SEFTON CCG,2017-05-01,2486
01V,NHS SOUTHPORT AND FORMBY CCG,2017-05-01,1858
01W,NHS STOCKPORT CCG,2017-05-01,4174
01X,NHS ST HELENS CCG,2017-05-01,3439
01Y,NHS TAMESIDE AND GLOSSOP CCG,2017-05-01,4434
02A,NHS TRAFFORD CCG,2017-05-01,3258
02E,NHS WARRINGTON CCG,2017-05-01,1943
02G,NHS WEST LANCASHIRE CCG,2017-05-01,1738
02H,NHS WIGAN BOROUGH CCG,2017-05-01,4309
02M,NHS FYLDE AND WYRE CCG,2017-05-01,3263
02P,NHS BARNSLEY CCG,2017-05-01,4179
02Q,NHS BASSETLAW CCG,2017-05-01,1716
02T,NHS CALDERDALE CCG,2017-05-01,3220
02X,NHS DONCASTER CCG,2017-05-01,4768
02Y,NHS EAST RIDING OF YORKSHIRE CCG,2017-05-01,2943
03F,NHS HULL CCG,2017-05-01,4350
03H,NHS NORTH EAST LINCOLNSHIRE CCG,2017-05-01,2178
03K,NHS NORTH LINCOLNSHIRE CCG,2017-05-01,1842
03L,NHS ROTHERHAM CCG,2017-05-01,3073
03N,NHS SHEFFIELD CCG,2017-05-01,6893
03Q,NHS VALE OF YORK CCG,2017-05-01,2881
03R,NHS WAKEFIELD CCG,2017-05-01,4716
03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,2017-05-01,2505
04C,NHS LEICESTER CITY CCG,2017-05-01,2751
04V,NHS WEST LEICESTERSHIRE CCG,2017-05-01,3277
04Y,NHS CANNOCK CHASE CCG,2017-05-01,1439
05D,NHS EAST STAFFORDSHIRE CCG,2017-05-01,1389
05G,NHS NORTH STAFFORDSHIRE CCG,2017-05-01,2910
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,2017-05-01,2532
05V,NHS STAFFORD AND SURROUNDS CCG,2017-05-01,1449
05W,NHS STOKE ON TRENT CCG,2017-05-01,4702
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,2017-05-01,9827
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,2017-05-01,5065
06L,NHS IPSWICH AND EAST SUFFOLK CCG,2017-05-01,4741
06N,NHS HERTS VALLEYS CCG,2017-05-01,4596
06Q,NHS MID ESSEX CCG,2017-05-01,2802
06T,NHS NORTH EAST ESSEX CCG,2017-05-01,3981
07G,NHS THURROCK CCG,2017-05-01,1344
07H,NHS WEST ESSEX CCG,2017-05-01,1836
07K,NHS WEST SUFFOLK CCG,2017-05-01,3031
09D,NHS BRIGHTON AND HOVE CCG,2017-05-01,3979
10Q,NHS OXFORDSHIRE CCG,2017-05-01,5949
