row_id,row_name,date,items,quantity,quantity_per_item
00L,NHS NORTHUMBERLAND CCG,2017-04-01,3258,147726,45.34254143646409
00N,NHS SOUTH TYNESIDE CCG,2017-04-01,2142,88915,41.51027077497666
00P,NHS SUNDERLAND CCG,2017-04-01,4720,168716,35.74491525423729
00Q,NHS BLACKBURN WITH DARWEN CCG,2017-04-01,1365,64448,47.21465201465202
00R,NHS BLACKPOOL CCG,2017-04-01,1311,58712,44.78413424866514
00T,NHS BOLTON CCG,2017-04-01,3309,158606,47.93170142036869
00V,NHS BURY CCG,2017-04-01,1873,100818,53.82701548318206
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,2017-04-01,1659,84416,50.8836648583484
00Y,NHS OLDHAM CCG,2017-04-01,2835,146294,51.60282186948854
01A,NHS EAST LANCASHIRE CCG,2017-04-01,3178,177340,55.80239144115796
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",2017-04-01,2571,147983,57.55853753403345
01E,NHS GREATER PRESTON CCG,2017-04-01,2463,110752,44.96630125862769
01F,NHS HALTON CCG,2017-04-01,2013,102855,51.09538002980626
01G,NHS SALFORD CCG,2017-04-01,3083,119050,38.61498540382744
01H,NHS NORTH CUMBRIA CCG,2017-04-01,2678,128461,47.96900672143391
01J,NHS KNOWSLEY CCG,2017-04-01,2723,139884,51.371281674623575
01K,NHS MORECAMBE BAY CCG,2017-04-01,3074,139276,45.30774235523747
01T,NHS SOUTH SEFTON CCG,2017-04-01,2019,101961,50.50074294205052
01V,NHS SOUTHPORT AND FORMBY CCG,2017-04-01,1556,76883,49.410668380462724
01W,NHS STOCKPORT CCG,2017-04-01,2975,137061,46.0709243697479
01X,NHS ST HELENS CCG,2017-04-01,3134,142781,45.55871091257179
01Y,NHS TAMESIDE AND GLOSSOP CCG,2017-04-01,2027,98483,48.585594474592995
02A,NHS TRAFFORD CCG,2017-04-01,3003,120502,40.12720612720613
02E,NHS WARRINGTON CCG,2017-04-01,2156,117593,54.54220779220779
02G,NHS WEST LANCASHIRE CCG,2017-04-01,1107,58773,53.09214092140921
02H,NHS WIGAN BOROUGH CCG,2017-04-01,3975,231201,58.16377358490566
02M,NHS FYLDE AND WYRE CCG,2017-04-01,1676,80519,48.04236276849642
02P,NHS BARNSLEY CCG,2017-04-01,3672,164063,44.67946623093682
02Q,NHS BASSETLAW CCG,2017-04-01,1334,68228,51.14542728635682
02T,NHS CALDERDALE CCG,2017-04-01,2068,97910,47.345261121856865
02X,NHS DONCASTER CCG,2017-04-01,3274,179615,54.861026267562615
02Y,NHS EAST RIDING OF YORKSHIRE CCG,2017-04-01,2430,136571,56.202057613168726
