date,items,quantity,quantity_per_item
2016-05-01,519934,55330175,106.41768955290479
2016-06-01,546254,58087045,106.33706114737832
2016-07-01,537431,57257551,106.53935295879843
2016-08-01,550866,58391307,105.9991123068042
2016-09-01,561887,59820004,106.46269445635866
2016-10-01,547016,57919333,105.88233799376984
2016-11-01,568638,60176912,105.82639922059377
2016-12-01,584590,62478730,106.87615251714877
2017-01-01,556720,59019265,106.01247485270872
2017-02-01,524743,55539479,105.84129564377228
2017-03-01,609265,64647906,106.10802524353115
2017-04-01,547402,58052041,106.05010759916844
2017-05-01,598814,63586277,106.1870246854616
2017-06-01,608655,64552242,106.05719496266357
2017-07-01,592403,62912519,106.19885280797025
2017-08-01,610357,64617097,105.86770857055788
2017-09-01,596956,63490935,106.35781364120639
2017-10-01,609595,64589503,105.95477817239315
2017-11-01,611391,64754099,105.91274487193957
2017-12-01,608784,64966536,106.71524875818024
2018-01-01,616608,65303177,105.90711927188748
2018-02-01,557136,58842679,105.61636476551506
2018-03-01,614257,65058695,105.91445437333233
2018-04-01,596773,63068665,105.68283920351624
2018-05-01,622433,65901487,105.87723819270508
2018-06-01,609065,64517244,105.92833933980774
2018-07-01,615842,65064591,105.6514349459764
2018-08-01,632538,66587365,105.27014187289933
2018-09-01,591539,62359841,105.4196612564852
2018-10-01,644035,67688942,105.10134076564162
2018-11-01,628014,65932589,104.98585859550901
2018-12-01,622430,65760900,105.65188053275067
2019-01-01,640343,67275747,105.06204799615206
2019-02-01,552719,57913563,104.77939604030257
2019-03-01,596830,62412615,104.57352177336931
2019-04-01,595457,61632497,103.50453013399792
2019-05-01,630209,65162122,103.39763792646566
2019-06-01,581776,60296083,103.64140665823273
2019-07-01,602919,62179498,103.13076549254544
2019-08-01,635406,65715734,103.42321917010541
2019-09-01,594669,61543195,103.49151376648186
2019-10-01,634275,65408101,103.12262189113555
2019-11-01,602927,62289469,103.3117923065313
2019-12-01,618615,64164768,103.72326568220946
2020-01-01,629109,65112408,103.49940630320025
2020-02-01,570291,58864639,103.21860067930233
2020-03-01,642909,67456053,104.92317419728143
2020-04-01,616384,64069524,103.94417116602638
2020-05-01,589401,61305564,104.01333557289519
2020-06-01,613745,63722245,103.82527759900285
2020-07-01,639895,66494920,103.91536111393276
2020-08-01,577945,59900806,103.64447482026837
2020-09-01,621373,64556342,103.89305940232356
2020-10-01,630310,65455650,103.8467579445035
2020-11-01,601123,62375336,103.76468043977688
2020-12-01,653395,68036211,104.12722931764094
2021-01-01,603828,62819241,104.0349917526183
2021-02-01,569758,59159156,103.83207607440352
2021-03-01,640919,66358435,103.53638291266135
2021-04-01,621931,64559925,103.80560705287242
