row_id,row_name,date,items,quantity,quantity_per_item
00L,NHS NORTHUMBERLAND CCG,2016-05-01,5628,574161,102.01865671641791
00N,NHS SOUTH TYNESIDE CCG,2016-05-01,2651,252655,95.30554507732931
00P,NHS SUNDERLAND CCG,2016-05-01,5494,436391,79.43046960320349
00Q,NHS BLACKBURN WITH DARWEN CCG,2016-05-01,2518,266431,105.81056393963463
00R,NHS BLACKPOOL CCG,2016-05-01,3565,351342,98.5531556802244
00T,NHS BOLTON CCG,2016-05-01,3059,347402,113.56717881660673
00V,NHS BURY CCG,2016-05-01,2515,275846,109.6803180914513
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,2016-05-01,1669,172800,103.53505092869982
00Y,NHS OLDHAM CCG,2016-05-01,3548,374824,105.64374295377678
01A,NHS EAST LANCASHIRE CCG,2016-05-01,5429,614734,113.23153435255111
01C,NHS EASTERN CHESHIRE CCG,2016-05-01,1,60,60
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",2016-05-01,2709,303839,112.15909929863419
01E,NHS GREATER PRESTON CCG,2016-05-01,1881,176310,93.73205741626795
01F,NHS HALTON CCG,2016-05-01,1839,214774,116.78847199564981
01G,NHS SALFORD CCG,2016-05-01,5375,488135,90.81581395348837
01H,NHS NORTH CUMBRIA CCG,2016-05-01,3424,383291,111.94246495327103
01J,NHS KNOWSLEY CCG,2016-05-01,2628,294918,112.22146118721462
01K,NHS MORECAMBE BAY CCG,2016-05-01,3761,415409,110.45174155809624
01T,NHS SOUTH SEFTON CCG,2016-05-01,2270,257678,113.51453744493392
01V,NHS SOUTHPORT AND FORMBY CCG,2016-05-01,1675,183950,109.82089552238806
01W,NHS STOCKPORT CCG,2016-05-01,3631,388956,107.12090333241531
01X,NHS ST HELENS CCG,2016-05-01,2856,313151,109.64670868347339
01Y,NHS TAMESIDE AND GLOSSOP CCG,2016-05-01,4086,446779,109.34385707293197
02A,NHS TRAFFORD CCG,2016-05-01,2716,239406,88.14653902798233
02E,NHS WARRINGTON CCG,2016-05-01,1678,208453,124.22705601907032
02G,NHS WEST LANCASHIRE CCG,2016-05-01,1599,169961,106.29205753595997
