date,items,quantity,quantity_per_item
2016-05-01,442083,22504786,50.90624611215541
2016-06-01,465104,23699540,50.955356221404244
2016-07-01,459382,23362940,50.857325711499364
2016-08-01,473151,23844982,50.39613569452458
2016-09-01,478873,24305039,50.7546656420387
2016-10-01,469223,23670259,50.44564950993451
2016-11-01,488804,24518336,50.15985139237813
2016-12-01,503734,25471570,50.56551672112663
2017-01-01,481141,24028101,49.93983260624225
2017-02-01,454564,22709002,49.95776612314218
2017-03-01,526520,26326179,50.00033996809238
2017-04-01,475137,23655355,49.78638792600871
2017-05-01,520223,25818573,49.62981836635443
2017-06-01,528002,26140872,49.50903973848584
2017-07-01,520949,25838145,49.59822362649703
2017-08-01,535077,26430149,49.39503847109855
2017-09-01,526993,26235897,49.784147038006196
2017-10-01,546478,27097257,49.585266012538476
2017-11-01,550342,27373090,49.738326349797035
2017-12-01,551327,27551502,49.97306861445204
2018-01-01,564225,28076725,49.761575612565906
2018-02-01,511779,25443881,49.7165397564183
2018-03-01,569114,28334776,49.78752235931641
2018-04-01,553533,27611543,49.88237918967794
2018-05-01,583317,29079228,49.85150098488472
2018-06-01,572899,28641996,49.99484376827329
2018-07-01,586283,29222386,49.843481731518736
2018-08-01,605662,30127580,49.74322311784461
2018-09-01,566961,28348108,50.000102299805455
2018-10-01,626064,31296419,49.98916883896854
2018-11-01,611300,30555097,49.983800098151484
2018-12-01,610284,30744114,50.376732799811236
2019-01-01,631140,31801288,50.38705833887885
2019-02-01,549879,27628881,50.24538307518563
2019-03-01,596866,30008888,50.277429104690164
2019-04-01,596331,29817048,50.00083510667733
2019-05-01,633224,31882125,50.34888917665786
2019-06-01,585202,29522194,50.4478692827434
2019-07-01,612331,30741397,50.20388809320449
2019-08-01,645364,32587074,50.49409945395157
2019-09-01,605210,30603080,50.566051453214584
2019-10-01,649263,32814792,50.54160178540899
2019-11-01,620843,31416519,50.60300108078854
2019-12-01,641434,32456731,50.60026596656866
2020-01-01,655233,33280786,50.79229220750481
2020-02-01,597411,30277721,50.68155926154691
2020-03-01,665016,34406477,51.73781833820539
2020-04-01,646783,33050620,51.10001345118842
2020-05-01,620189,31877021,51.39888163124467
2020-06-01,648049,33227102,51.27251488699157
2020-07-01,676063,34804354,51.48093298997283
2020-08-01,615591,31478867,51.136009135936035
2020-09-01,664965,34147028,51.35161700239862
2020-10-01,674655,34692834,51.42307401560798
2020-11-01,649340,33365197,51.38324606523547
2020-12-01,707679,36452650,51.51014796256495
2021-01-01,656374,33963336,51.743877728246396
2021-02-01,624143,32192532,51.57877601767544
2021-03-01,703825,36319997,51.60373246190459
2021-04-01,687959,35751283,51.96717100873744
