row_id,row_name,date,items
00L,NHS NORTHUMBERLAND CCG,2016-05-01,3161
00N,NHS SOUTH TYNESIDE CCG,2016-05-01,1651
00P,NHS SUNDERLAND CCG,2016-05-01,3991
00Q,NHS BLACKBURN WITH DARWEN CCG,2016-05-01,1165
00R,NHS BLACKPOOL CCG,2016-05-01,1564
00T,NHS BOLTON CCG,2016-05-01,3273
00V,NHS BURY CCG,2016-05-01,1580
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,2016-05-01,1588
00Y,NHS OLDHAM CCG,2016-05-01,2834
01A,NHS EAST LANCASHIRE CCG,2016-05-01,2734
01C,NHS EASTERN CHESHIRE CCG,2016-05-01,1
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",2016-05-01,2512
01E,NHS GREATER PRESTON CCG,2016-05-01,2173
01F,NHS HALTON CCG,2016-05-01,1894
01G,NHS SALFORD CCG,2016-05-01,2885
01H,NHS NORTH CUMBRIA CCG,2016-05-01,2402
01J,NHS KNOWSLEY CCG,2016-05-01,2551
01K,NHS MORECAMBE BAY CCG,2016-05-01,3001
01T,NHS SOUTH SEFTON CCG,2016-05-01,2087
01V,NHS SOUTHPORT AND FORMBY CCG,2016-05-01,1562
01W,NHS STOCKPORT CCG,2016-05-01,2836
01X,NHS ST HELENS CCG,2016-05-01,3373
01Y,NHS TAMESIDE AND GLOSSOP CCG,2016-05-01,1916
02A,NHS TRAFFORD CCG,2016-05-01,2908
02E,NHS WARRINGTON CCG,2016-05-01,2068
02G,NHS WEST LANCASHIRE CCG,2016-05-01,1094
02H,NHS WIGAN BOROUGH CCG,2016-05-01,4013
02M,NHS FYLDE AND WYRE CCG,2016-05-01,1532
02P,NHS BARNSLEY CCG,2016-05-01,3420
02Q,NHS BASSETLAW CCG,2016-05-01,1286
02T,NHS CALDERDALE CCG,2016-05-01,1959
02X,NHS DONCASTER CCG,2016-05-01,3264
02Y,NHS EAST RIDING OF YORKSHIRE CCG,2016-05-01,2306
03F,NHS HULL CCG,2016-05-01,2508
03H,NHS NORTH EAST LINCOLNSHIRE CCG,2016-05-01,1167
03K,NHS NORTH LINCOLNSHIRE CCG,2016-05-01,1832
03L,NHS ROTHERHAM CCG,2016-05-01,2230
03N,NHS SHEFFIELD CCG,2016-05-01,6249
03Q,NHS VALE OF YORK CCG,2016-05-01,2864
03R,NHS WAKEFIELD CCG,2016-05-01,3411
03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,2016-05-01,1995
04C,NHS LEICESTER CITY CCG,2016-05-01,1847
04V,NHS WEST LEICESTERSHIRE CCG,2016-05-01,2427
04Y,NHS CANNOCK CHASE CCG,2016-05-01,1257
05D,NHS EAST STAFFORDSHIRE CCG,2016-05-01,781
05G,NHS NORTH STAFFORDSHIRE CCG,2016-05-01,1401
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,2016-05-01,2335
05V,NHS STAFFORD AND SURROUNDS CCG,2016-05-01,1098
05W,NHS STOKE ON TRENT CCG,2016-05-01,2192
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,2016-05-01,5245
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,2016-05-01,2920
