date,month,prescriptions_100,pills_100,average_daily_dose_100,prescriptions_300,pills_300,average_daily_dose_300,prescriptions_400,pills_400,average_daily_dose_400,prescriptions_600,pills_600,average_daily_dose_600,prescriptions_800,pills_800,average_daily_dose_800,prescriptions_total,pills_total,weight_100,weight_300,weight_400,weight_600,weight_800,weighted_average_daily_dose_100,weighted_average_daily_dose_300,weighted_average_daily_dose_400,weighted_average_daily_dose_600,weighted_average_daily_dose_800,weighted_average_daily_dose_total
2017-04-01,1,146966,13686133,310.41494858221176,326891,36782746,1125.2296943017705,25509,2560923,1338.5722686110785,43489,3921401,1803.3990204419508,2570,201275,2088.4565499351493,545425,57152478,0.23946700963692247,0.6435896970206612,0.044808608298663795,0.06861296547806729,0.003521719565685323,74.3341394835813,724.1862380343276,59.979560463647594,123.73655473276395,7.354958293990283,989.5914510083107
2017-05-01,2,161798,15088606,300.82524246681146,356698,40121762,1088.5261933877741,27637,2791477,1303.2911699719987,47619,4319062,1755.4914716205037,2786,219772,2035.7270222078132,596538,62540679,0.241260668116507,0.6415306427997048,0.04463458095809929,0.069060043303975,0.00351406482171388,72.57729898385315,698.3229085483746,58.17185523809111,121.23431704987078,7.153676715352827,957.4600565355424
2017-06-01,3,164653,15381661,311.395500436271,362166,40662396,1122.7557528867978,28014,2829278,1346.6019371266748,48661,4377883,1799.3395121349747,2772,216218,2080.01924001924,606266,63467436,0.24235516619893074,0.64068124636388335,0.04457841971117283,0.06897841280369353,0.0034067549223195342,75.46830826183167,719.3285551217339,60.029386337111276,124.11558364204281,7.086115784454883,986.0279491471745
2017-07-01,4,160187,14924558,300.54708237167165,353050,39725216,1088.904048133546,27528,2768739,1297.7936833816127,46654,4185096,1736.225362552324,2642,206327,2015.35493638739,590061,61809936,0.24145888130348492,0.6426995167896631,0.04479440004597319,0.06770911395216458,0.0033380879087142237,72.56976228849017,699.838105565738,58.133889430533024,117.55828091969357,6.7274319449222695,954.8274701493771
2017-08-01,5,165369,15409540,300.5895515386021,362850,40713437,1085.8509114670153,28018,2804410,1291.524572912805,49034,4407424,1739.7108260627583,2782,213776,1983.0337886412653,608053,63548587,0.2424843844285633,0.640666282635049,0.044130170825041316,0.06935518487610118,0.003363977235245215,72.88827237049583,695.6680669454523,56.99520002738062,120.6579659725373,6.670880521711288,952.8803858375774
2017-09-01,6,161669,15077322,310.86813180015963,355081,39975532,1125.8144479710265,27461,2779569,1349.5837733512983,47673,4315497,1810.457491661947,2701,211464,2087.7600888559796,594585,62359384,0.24178112471412483,0.6410507839525804,0.04457338770376564,0.06920365024773176,0.003391053381797357,75.16204654442139,721.7042344569682,60.155520768298395,125.29026704135912,7.07970590969662,989.3917747207437
2017-10-01,7,164771,15276840,299.0825389920439,362452,40714183,1087.0631768638198,28313,2835991,1292.4604336546645,48876,4409383,1746.1104995129215,2730,209297,1978.4662649178779,607142,63445694,0.24078608077011499,0.6417170407183189,0.04469950316880449,0.06949853838780612,0.0032988369549555247,72.01491239066935,697.586964930905,57.772339249701105,121.35212757975009,6.526637628843923,955.2529817798694
2017-11-01,8,165037,15302733,309.0768130782794,363133,40749938,1122.176668052752,28654,2862552,1332.0080966008236,49230,4437924,1802.9347958561852,2857,223258,2083.845525609614,608911,63576405,0.24069830623483665,0.6409600857425015,0.04502538323769644,0.06980457608447663,0.0035116487004888054,74.39426540440306,719.2704533733265,59.974175025166666,125.85309913269342,7.3177334320264125,986.8097263676161
2017-12-01,9,161565,15053543,300.55900800936007,363068,41107834,1095.7114049905163,28885,2909250,1299.5918185016221,50058,4532955,1752.659173423345,2739,215214,2027.714376567855,606315,63818796,0.23587945783245426,0.6441336499046456,0.04558609974403152,0.07102852582803348,0.003372266690835095,70.89569585590813,705.7845865386886,59.243322264742254,124.48879736723988,6.837993650627228,967.250395677206
2018-01-01,10,164340,15223624,298.8223470617563,367757,41256282,1085.6471581383464,28913,2889184,1289.3782571295644,50313,4535215,1744.6456152228982,2747,213948,2009.9158025764177,614070,64118253,0.23743042406348783,0.6434405191919375,0.04506024204995105,0.07073204255892623,0.003336772135697459,70.94951658251954,698.549371091789,58.099696360202195,123.40234790619007,6.706631045134985,957.7075629858358
2018-02-01,11,148972,13768587,330.0856872432404,331014,37099334,1200.8339957999185,26347,2612623,1416.6009683943414,45942,4105606,1914.9638985801973,2553,196037,2193.911924346707,554828,57782187,0.23828428300922566,0.6420548602634234,0.045215024484968,0.07105314307331427,0.0033926891690686614,78.65423131636304,771.001303372885,64.05164747137952,136.06420386605043,7.443261223621658,1057.2146472502995
2018-03-01,12,164541,15231735,298.6163268258857,364823,40978530,1087.0104663215825,28698,2858970,1285.453184328907,50830,4552937,1733.6486580822855,2769,210581,1962.5671314903482,611661,63832753,0.2386194278664434,0.64196714185271,0.0447884489644368,0.07132603226434554,0.0032989490520642277,71.25565705877173,697.8250022284478,57.57345434248802,123.65428012141645,6.4744089780424945,956.7828027291665
2018-04-01,13,159880,14778882,308.12446835126343,354091,39751300,1122.6294935482688,28339,2813379,1323.6783231588975,49349,4406733,1785.9462197815558,2717,206927,2030.9360814623974,594376,61957221,0.23853364888654383,0.6415926886068696,0.04540841171685218,0.0711254140982211,0.0033398366915133267,73.49805374705326,720.2708750750021,60.10613027867172,127.02616443911575,6.7829948429864135,987.6842183828293
2018-05-01,14,167571,15545280,299.2526422598722,368490,41385502,1086.881212691026,29160,2934328,1298.4326740121244,51927,4639721,1729.3710711749807,2718,208926,1983.6787011322367,619866,64713757,0.2402160022945353,0.6395162932666697,0.045343187229880656,0.0716960537463464,0.0032284634625679358,71.8852733997432,695.0782443613477,58.87507584312635,123.98908126633806,6.404234208079647,956.231909078635
2018-06-01,15,164624,15262649,309.04058136521206,359267,40344034,1122.954070371061,28748,2869655,1330.947080376606,50999,4560998,1788.66173846546,2734,209664,2045.003657644477,606372,63247000,0.24131814947744556,0.6378805951270416,0.04537219156639841,0.07211406074596423,0.003315003083150189,74.57710120848692,716.3106107086263,60.38798589558603,128.98766126168016,6.779193430144855,987.0425525045242
2018-07-01,16,166351,15361725,297.8879093777809,362765,40664095,1084.7890507628906,29238,2896266,1278.1713589694366,51990,4628488,1723.0936470413046,2787,210795,1951.8733289350325,613131,63761369,0.2409252693429465,0.637754421489915,0.04542352282304352,0.07259078769152526,0.003305998652569709,71.7687248008491,691.8290135078813,58.05904589590876,125.0807251049913,6.45289059544597,953.1903999050764
2018-08-01,17,170942,15746523,297.14894808690065,371888,41524518,1080.5677359676795,30276,2987385,1273.183486121233,53971,4836011,1734.2686424788462,2760,213873,1999.7475455820477,629837,65308310,0.2411105569873114,0.6358228837953394,0.0457428005716271,0.07404893802947894,0.00327482061624317,71.6457483814263,687.0496940191708,58.238978296732526,128.42075123338466,6.548814489553768,951.9039864202681
