date,prescriptions_100,pills_100,total_prescribed_dose_100,total_dose_per_prescription_100,average_daily_dose_100,prescriptions_300,pills_300,total_prescribed_dose_300,total_dose_per_prescription_300,average_daily_dose_300,prescriptions_400,pills_400,total_prescribed_dose_400,total_dose_per_prescription_400,average_daily_dose_400,prescriptions_600,pills_600,total_prescribed_dose_600,total_dose_per_prescription_600,average_daily_dose_600,prescriptions_800,pills_800,total_prescribed_dose_800,total_dose_per_prescription_800,average_daily_dose_800,prescriptions_total,pills_total,dose_total,dose_per_prescription_total,average_daily_dose
2016-07-01,143400,13468940,1346894000,9392.566248256624,313.08554160855414,322442,36348035,10904410500,33818.2076156332,1127.2735871877733,25421,2590481,1036192400,40761.276110302504,1358.7092036767501,41794,3781249,2268749400,54284.093410537396,1809.4697803512465,2493,199013,159210400,63862.976333734456,2128.7658777911483,535550,56387718,15715456700,29344.518158902065,978.1506052967355
2016-08-01,147733,13805006,1380500600,9344.564856870164,311.48549522900544,330084,37075747,11122724100,33696.647217072015,1123.2215739024005,25744,2595489,1038195600,40327.67246737104,1344.255748912368,42818,3856779,2314067400,54044.26643000607,1801.475547666869,2637,209998,167998400,63708.153204398935,2123.605106813298,549016,57543019,16023486100,29185.827189007243,972.8609063002415
2016-09-01,150871,14159545,1415954500,9385.199939020753,312.83999796735844,336176,37829611,11348883300,33758.75523535291,1125.2918411784303,26323,2674266,1069706400,40637.7084678798,1354.59028226266,43800,3986244,2391746400,54606.08219178082,1820.2027397260274,2655,211512,169209600,63732.42937853107,2124.4143126177023,559825,58861178,16395500200,29286.831063278703,976.2277021092901
2016-10-01,146902,13647470,1364747000,9290.186655048945,309.6728885016315,326884,36704876,11011462800,33686.14799133637,1122.8715997112124,25648,2595867,1038346800,40484.513412351844,1349.483780411728,43105,3890492,2334295200,54153.69910683215,1805.1233035610717,2564,202911,162328800,63310.76443057723,2110.3588143525744,545103,57041616,15911180600,29189.310277140285,972.9770092380095
2016-11-01,152788,14212919,1421291900,9302.37911354295,310.079303784765,340165,38085191,11425557300,33588.28009936355,1119.6093366454515,26493,2682976,1073190400,40508.451289019744,1350.2817096339916,44494,4037389,2422433400,54444.04638827707,1814.8015462759024,2667,211430,169144000,63421.07236595426,2114.0357455318085,566607,59229905,16511617000,29141.216045689518,971.3738681896506
2016-12-01,154672,14513619,1451361900,9383.481819592427,312.78272731974755,350766,39702509,11910752700,33956.40598005508,1131.8801993351694,27597,2797218,1118887200,40543.798238939016,1351.4599412979671,46619,4257070,2554242000,54789.72092923486,1826.3240309744954,2783,219392,175513600,63066.331297161334,2102.2110432387112,582437,61489808,17210757400,29549.560553330233,984.9853517776744
2017-01-01,148988,13896999,1389699900,9327.596182242865,310.91987274142883,332977,37349932,11204979600,33650.91162452662,1121.6970541508874,25806,2607587,1043034800,40418.30582035186,1347.2768606783952,44224,4003923,2402353800,54322.399602026046,1810.7466534008681,2601,201150,160920000,61868.512110726646,2062.2837370242214,554596,58059591,16200988100,29212.23395047927,973.7411316826423
2017-02-01,140939,13098530,1309853000,9293.758292594668,309.7919430864889,313364,35149880,10544964000,33650.846938384755,1121.6948979461586,24335,2458123,983249200,40404.73392233409,1346.824464077803,41621,3737539,2242523400,53879.6136565676,1795.9871218855867,2528,196629,157303200,62224.36708860759,2074.145569620253,522787,54640701,15237892800,29147.421033805356,971.5807011268452
2017-03-01,164187,15315343,1531534300,9327.987599505443,310.93291998351475,363109,40794089,12238226700,33704.0026548502,1123.4667551616733,28469,2874913,1149965200,40393.59303101619,1346.453101033873,48347,4364807,2618884200,54168.49442571411,1805.616480857137,2796,220057,176045600,62963.37625178827,2098.7792083929426,606908,63569209,17714656000,29188.371219361088,972.9457073120362
2017-04-01,146966,13686133,1368613300,9312.448457466353,310.41494858221176,326891,36782746,11034823800,33756.89082905311,1125.2296943017705,25509,2560923,1024369200,40157.168058332354,1338.5722686110785,43489,3921401,2352840600,54101.97061325853,1803.3990204419508,2570,201275,161020000,62653.69649805447,2088.4565499351493,545425,57152478,15941666900,29227.972498510335,974.2657499503445
