date,prescriptions_25,pills_25,total_prescribed_dose_25,total_dose_per_prescription_25,average_daily_dose_25,prescriptions_50,pills_50,total_prescribed_dose_50,total_dose_per_prescription_50,average_daily_dose_50,prescriptions_75,pills_75,total_prescribed_dose_75,total_dose_per_prescription_75,average_daily_dose_75,prescriptions_100,pills_100,total_prescribed_dose_100,total_dose_per_prescription_100,average_daily_dose_100,prescriptions_150,pills_150,total_prescribed_dose_150,total_dose_per_prescription_150,average_daily_dose_150,prescriptions_200,pills_200,total_prescribed_dose_200,total_dose_per_prescription_200,average_daily_dose_200,prescriptions_225,pills_225,total_prescribed_dose_225,total_dose_per_prescription_225,average_daily_dose_225,prescriptions_300,pills_300,total_prescribed_dose_300,total_dose_per_prescription_300,average_daily_dose_300,prescriptions_total,pills_total,dose_total,dose_per_prescription_total,average_daily_dose_total
2016-07-01,43116,2224057,55601425,1289.5775350218016,42.985917834060054,58057,3176442,158822100,2735.623611278571,91.18745370928569,93314,4902542,367690650,3940.358895771267,131.3452965257089,48759,2645611,264561100,5425.8926557148425,180.86308852382808,90818,4499156,674873400,7431.053315422053,247.7017771807351,27947,1367790,273558000,9788.456721651697,326.28189072172324,11743,522838,117638550,10017.759516307588,333.9253172102529,84791,3594030,1078209000,12716.078357372835,423.8692785790945,458545,22932466,2990954225,6522.706004863208,217.42353349544027
2016-08-01,44373,2265508,56637700,1276.4000631014355,42.54666877004785,59733,3260641,163032050,2729.346424924246,90.97821416414153,95354,4970884,372816300,3909.8129076913397,130.32709692304465,50265,2714376,271437600,5400.1313040883315,180.0043768029444,93128,4566611,684991650,7355.378081779916,245.17926939266388,28960,1400473,280094600,9671.774861878454,322.39249539594846,12061,532901,119902725,9941.35851090291,331.378617030097,88413,3690214,1107064200,12521.509280309458,417.38364267698194,472287,23401608,3055976825,6470.59272222187,215.68642407406233
2016-09-01,44748,2306018,57650450,1288.3357915437562,42.94452638479187,60341,3294744,164737200,2730.1039094479706,91.0034636482657,96339,5055212,379140900,3935.4871858748793,131.1829061958293,51035,2771864,277186400,5431.300088174782,181.04333627249272,94343,4651794,697769100,7396.087680061054,246.53625600203515,29386,1425776,285155200,9703.777308922616,323.45924363075386,12378,549332,123599700,9985.433834222007,332.8477944740669,89366,3759955,1127986500,12622.099008571493,420.73663361904977,477936,23814695,3113225450,6513.89610742861,217.12987024762032
2016-10-01,43523,2248274,56206850,1291.4286698986743,43.047622329955814,59196,3230588,161529400,2728.7215352388675,90.95738450796225,93625,4864612,364845900,3896.8854472630173,129.8961815754339,49817,2689838,268983800,5399.437942870907,179.98126476236357,92461,4525595,678839250,7341.898205729984,244.72994019099946,29108,1409275,281855000,9683.076817369796,322.76922724565986,12180,543991,122397975,10049.094827586207,334.96982758620686,88385,3677797,1103339100,12483.329750523279,416.1109916841093,468295,23189970,3037997275,6487.3579154165645,216.2452638472188
2016-11-01,45323,2308216,57705400,1273.2034507865762,42.44011502621921,61948,3355377,167768850,2708.220604377865,90.27402014592884,97357,5047746,378580950,3888.584796162577,129.61949320541922,52066,2802111,280211100,5381.844197749011,179.3948065916337,95715,4685407,702811050,7342.747218304341,244.7582406101447,30232,1447213,289442600,9574.047367028314,319.1349122342771,12825,568459,127903275,9972.964912280702,332.4321637426901,92445,3838830,1151649000,12457.66672075288,415.25555735842937,487911,24053359,3156072225,6468.540830192392,215.61802767307972
2016-12-01,46166,2379884,59497100,1288.7644586925444,42.95881528975148,63108,3448407,172420350,2732.1472713443623,91.07157571147874,99425,5194707,389603025,3918.56198139301,130.61873271310031,53703,2904230,290423000,5407.947414483362,180.26491381611206,99308,4880058,732008700,7371.094977242518,245.70316590808395,31412,1525261,305052200,9711.326881446581,323.71089604821935,13445,592122,133227450,9909.070286351804,330.30234287839346,96204,4037825,1211347500,12591.446301609081,419.7148767203027,502771,24962494,3293579325,6550.853818139869,218.36179393799563
2017-01-01,43993,2244146,56103650,1275.2858409292387,42.50952803097462,60758,3273087,163654350,2693.544060041476,89.78480200138253,94631,4911130,368334750,3892.326510340163,129.74421701133878,51283,2750480,275048000,5363.336778269602,178.77789260898675,94657,4594278,689141700,7280.4092671434755,242.68030890478252,30130,1440966,288193200,9564.991702621972,318.83305675406575,12958,564490,127010250,9801.686217008797,326.7228739002932,91863,3793802,1138140600,12389.543123999869,412.9847707999956,480273,23572379,3105626500,6466.377456155145,215.54591520517153
2017-02-01,42399,2161326,54033150,1274.3968018113635,42.47989339371212,57037,3080289,154014450,2700.255097568245,90.00850325227483,89487,4624202,346815150,3875.5925441684267,129.18641813894754,48326,2582455,258245500,5343.821131482018,178.1273710494006,89216,4328660,649299000,7277.831330703013,242.59437769010043,28007,1344054,268810800,9597.98621773128,319.932873924376,12268,534341,120226725,9800.026491685687,326.6675497228562,86956,3597210,1079163000,12410.448962693776,413.6816320897925,453696,22252537,2930607775,6459.4084475067,215.31361491689
2017-03-01,49031,2526532,63163300,1288.2319348983297,42.94106449661099,66872,3621680,181084000,2707.9196076085655,90.26398692028552,103234,5350706,401302950,3887.3137725943,129.57712575314335,56570,3011276,301127600,5323.09704790525,177.43656826350835,102648,4981008,747151200,7278.7701660042085,242.6256722001403,32659,1577927,315585400,9663.045408616308,322.1015136205436,14128,613655,138072375,9772.959725368064,325.7653241789355,100442,4154833,1246449900,12409.648354274108,413.65494514247024,525584,25837617,3393936725,6457.458227419404,215.2486075806468
2017-04-01,44024,2260358,56508950,1283.5941759040522,42.78647253013507,60144,3243229,162161450,2696.2199055599895,89.87399685199965,91890,4745976,355948200,3873.6336924583743,129.1211230819458,51234,2712156,271215600,5293.6643635086075,176.45547878362024,92557,4475170,671275500,7252.56328532688,241.752109510896,29859,1424989,284997800,9544.787166348504,318.1595722116168,12940,559574,125904150,9729.841576506955,324.3280525502318,91591,3758592,1127577600,12311.008723564542,410.36695745215144,474239,23180044,3055589250,6443.14206549862,214.7714021832873
