actual_cost,date,items,quantity
73057.58,2016-07-01,2231,97775
89598.18,2016-08-01,2676,119938
113392.43,2016-09-01,3370,151845
130950.2,2016-10-01,3976,175434
142102.84,2016-11-01,5036,221874
191754.18,2016-12-01,6717,299583
222977.26,2017-01-01,7985,347975
266772.44,2017-02-01,9491,416125
364518.13,2017-03-01,12880,569510
380456.46,2017-04-01,13406,593642
453502.67,2017-05-01,15922,708225
319410.33,2017-06-01,17268,772332
279117.5,2017-07-01,15903,674647
169222.41,2017-08-01,9993,408446
120617.9,2017-09-01,6746,291333
36413.44,2017-10-01,5178,219474
32217,2017-11-01,4350,194183
27733.73,2017-12-01,3817,167023
25231.7,2018-01-01,3399,151995
17528.19,2018-02-01,2386,105437
17005.32,2018-03-01,2318,102333
14165.37,2018-04-01,1875,84768
13389.07,2018-05-01,1765,80611
10895.19,2018-06-01,1504,65537
11186.34,2018-07-01,1524,67256
9710.74,2018-08-01,1391,58404
8405.31,2018-09-01,1213,50538
7788.38,2018-10-01,1175,46855
5338.67,2018-11-01,1050,45592
4907.81,2018-12-01,984,41874
4730.18,2019-01-01,932,40369
4222.5,2019-02-01,818,36030
4258.75,2019-03-01,848,36316
4081.71,2019-04-01,774,34842
3775.19,2019-05-01,775,32193
2563.86,2019-06-01,542,21826
2020.89,2019-07-01,432,17170
1591.69,2019-08-01,351,13532
1595.64,2019-09-01,326,13592
1634.48,2019-10-01,318,13951
1398.91,2019-11-01,256,11954
1329.83,2019-12-01,225,11368
1387.27,2020-01-01,257,11838
1094.57,2020-02-01,207,9326
1125.29,2020-03-01,208,9611
1220.26,2020-04-01,241,10402
1056.41,2020-05-01,219,8999
1175.27,2020-06-01,222,10028
1259.82,2020-07-01,243,10753
1148.69,2020-08-01,209,9815
1069.71,2020-09-01,212,9137
1162.79,2020-10-01,221,9938
1173.7,2020-11-01,213,10027
925.78,2020-12-01,153,7924
1009.44,2021-01-01,159,8631
1177.35,2021-02-01,170,10089
1295.17,2021-03-01,187,11105
1365.66,2021-04-01,204,11711
1361.5,2021-05-01,208,11666
1153.23,2021-06-01,188,9882
