actual_cost,date,items,quantity
0,2016-07-01,0,0
0,2016-08-01,0,0
0,2016-09-01,0,0
0,2016-10-01,0,0
0,2016-11-01,0,0
0,2016-12-01,0,0
0,2017-01-01,0,0
0,2017-02-01,0,0
291.94,2017-03-01,20,882
1129.74,2017-04-01,78,3409
2407.71,2017-05-01,162,7272
4380.36,2017-06-01,311,13239
7554.48,2017-07-01,512,22839
8888.13,2017-08-01,596,26844
7600.11,2017-09-01,533,22961
5968.27,2017-10-01,419,18048
4931.89,2017-11-01,323,14896
3922.18,2017-12-01,258,11842
2858.17,2018-01-01,188,8628
2376.33,2018-02-01,166,7157
1824.04,2018-03-01,136,5495
1683.64,2018-04-01,125,5068
1657.82,2018-05-01,126,4991
1516.68,2018-06-01,107,4569
1154.65,2018-07-01,83,3476
807.75,2018-08-01,71,2431
1058.06,2018-09-01,68,3080
828.29,2018-10-01,63,2499
708.16,2018-11-01,55,2135
912.3,2018-12-01,63,2751
568.99,2019-01-01,46,1715
576.44,2019-02-01,42,1736
539.07,2019-03-01,43,1624
510.59,2019-04-01,32,1540
559.9,2019-05-01,42,1687
459.81,2019-06-01,34,1386
482.87,2019-07-01,31,1456
486.94,2019-08-01,35,1470
431.53,2019-09-01,30,1302
482.25,2019-10-01,36,1456
436.15,2019-11-01,36,1316
399.4,2019-12-01,32,1204
376.42,2020-01-01,33,1134
376.48,2020-02-01,28,1134
347.67,2020-03-01,28,1050
329.32,2020-04-01,26,994
350.08,2020-05-01,26,1057
278.1,2020-06-01,26,840
370.71,2020-07-01,26,1120
166.98,2020-08-01,12,504
217.73,2020-09-01,17,658
245.44,2020-10-01,20,742
236.65,2020-11-01,22,714
129.92,2020-12-01,7,392
174.12,2021-01-01,12,525
97.54,2021-02-01,10,294
67.32,2021-03-01,8,203
102.21,2021-04-01,5,308
18.59,2021-05-01,1,56
106.87,2021-06-01,8,322
