actual_cost,date,items,quantity
292511.39,2016-07-01,143262,13450873
299600.84,2016-08-01,147601,13788498
307104.17,2016-09-01,150722,14140122
264636.63,2016-10-01,146764,13629694
275727.11,2016-11-01,152639,14194579
281427.93,2016-12-01,154524,14494156
258257.74,2017-01-01,148860,13881911
243682.22,2017-02-01,140793,13079835
284277.68,2017-03-01,164051,15299095
239148.11,2017-04-01,146831,13669569
263447.84,2017-05-01,161643,15069755
268189.32,2017-06-01,164490,15359809
272780.33,2017-07-01,160039,14907084
255076.12,2017-08-01,165204,15388984
248929.83,2017-09-01,161497,15056927
235521.7,2017-10-01,164576,15251547
569981.86,2017-11-01,164830,15279735
328822.65,2017-12-01,161375,15031857
321620.92,2018-01-01,164143,15203203
291036.5,2018-02-01,148793,13749017
321769.21,2018-03-01,164354,15210344
343799.46,2018-04-01,159707,14759824
361299.16,2018-05-01,167407,15524269
354922.65,2018-06-01,164472,15242563
280867.02,2018-07-01,166202,15343396
329907.33,2018-08-01,170786,15726659
309670.43,2018-09-01,160274,14764734
332197.03,2018-10-01,174098,16053609
292412.71,2018-11-01,170263,15666275
288107.26,2018-12-01,166739,15428601
265084.52,2019-01-01,173082,15913960
227738.43,2019-02-01,148679,13660469
244471.12,2019-03-01,159802,14645460
257546.69,2019-04-01,158595,14430444
272752.73,2019-05-01,168105,15288204
253095.07,2019-06-01,155455,14182513
258088.79,2019-07-01,162527,14763217
303781.73,2019-08-01,169685,15514223
286517.01,2019-09-01,160249,14635634
294213.21,2019-10-01,170648,15537359
280622.01,2019-11-01,162406,14821465
287018.39,2019-12-01,165063,15143911
300940.69,2020-01-01,169086,15483310
273657.71,2020-02-01,153770,14059573
310990.48,2020-03-01,172228,16022486
295244.84,2020-04-01,163995,15039539
285051.41,2020-05-01,157980,14525849
329499.12,2020-06-01,165195,15154618
391037.26,2020-07-01,173170,15939798
351167.69,2020-08-01,155732,14293728
378878.6,2020-09-01,167532,15448633
370867.64,2020-10-01,171175,15785329
352871.76,2020-11-01,162822,14986126
380764.76,2020-12-01,175712,16177647
335772.42,2021-01-01,163621,15078600
316229.08,2021-02-01,154462,14189608
357550.51,2021-03-01,174874,16060024
353391.55,2021-04-01,169773,15606101
336646.86,2021-05-01,161537,14862710
358578.3,2021-06-01,172084,15835068
