actual_cost,date,items,quantity
46785.44,2016-05-01,2481,193474
53126.37,2016-06-01,2535,200890
50664.34,2016-07-01,2469,196213
55158.18,2016-08-01,2617,207730
55259,2016-09-01,2634,208580
53777.64,2016-10-01,2544,200327
56547.55,2016-11-01,2647,208930
58807.46,2016-12-01,2763,217216
54088.57,2017-01-01,2582,198570
53442.98,2017-02-01,2511,194921
59475.55,2017-03-01,2770,216625
54553.49,2017-04-01,2548,198692
59676.23,2017-05-01,2762,216704
58917.86,2017-06-01,2748,213789
55982.8,2017-07-01,2615,202703
58701.36,2017-08-01,2766,212103
57782.21,2017-09-01,2673,208579
57094.12,2017-10-01,2707,206289
61236.99,2017-11-01,2831,220441
58972.59,2017-12-01,2710,212238
58863.95,2018-01-01,2725,211428
53728.04,2018-02-01,2527,192537
58120.03,2018-03-01,2744,208197
56718.98,2018-04-01,2690,203691
53004.3,2018-05-01,2699,206874
51611.24,2018-06-01,2711,207288
49408.23,2018-07-01,2757,206835
49270.08,2018-08-01,2740,211849
44243.56,2018-09-01,2538,194253
47385.06,2018-10-01,2748,211527
45076.48,2018-11-01,2714,203410
49185.41,2018-12-01,2684,211574
48305.98,2019-01-01,2696,205334
44394.41,2019-02-01,2394,185097
49369.08,2019-03-01,2670,203346
47771.02,2019-04-01,2596,195060
49643.71,2019-05-01,2683,201337
48963.77,2019-06-01,2534,194805
48091.58,2019-07-01,2503,189636
52494,2019-08-01,2675,204616
50070.69,2019-09-01,2590,194304
53777.62,2019-10-01,2756,206876
52305.57,2019-11-01,2673,200225
53215.5,2019-12-01,2703,202756
54121.79,2020-01-01,2765,205575
48734.02,2020-02-01,2462,184618
57431.5,2020-03-01,2858,217602
55955.41,2020-04-01,2773,211531
50940.97,2020-05-01,2602,194558
53131.25,2020-06-01,2669,203646
55972.56,2020-07-01,2806,215831
49975.88,2020-08-01,2525,193485
53278.45,2020-09-01,2708,206992
54343.74,2020-10-01,2790,211787
50823.87,2020-11-01,2614,198122
56300.94,2020-12-01,2875,219960
51763.84,2021-01-01,2651,202751
47094.42,2021-02-01,2414,184661
53415.33,2021-03-01,2753,209384
53372.57,2021-04-01,2748,209786
