actual_cost,date,items,quantity
134.35,2016-07-01,2,126
0,2016-08-01,0,0
59.64,2016-09-01,1,56
59.61,2016-10-01,1,56
119.3,2016-11-01,2,112
59.62,2016-12-01,1,56
119.36,2017-01-01,2,112
208.97,2017-02-01,4,196
89.43,2017-03-01,2,84
119.4,2017-04-01,2,112
119.29,2017-05-01,3,112
148.96,2017-06-01,3,140
373.11,2017-07-01,10,350
488.64,2017-08-01,16,458
1274.66,2017-09-01,28,1197
2186.18,2017-10-01,44,2055
820.13,2017-11-01,17,770
850.38,2017-12-01,18,798
820.97,2018-01-01,20,770
657.55,2018-02-01,17,616
1807.39,2018-03-01,36,1694
792.2,2018-04-01,19,742
761.74,2018-05-01,12,714
747.35,2018-06-01,13,700
508.57,2018-07-01,8,476
732.08,2018-08-01,13,686
478.14,2018-09-01,8,448
597.04,2018-10-01,12,560
1418.95,2018-11-01,23,1330
779.4,2018-12-01,14,730
955.46,2019-01-01,15,895
418.85,2019-02-01,7,392
997.23,2019-03-01,19,933
987.41,2019-04-01,16,924
807.54,2019-05-01,11,756
1897,2019-06-01,30,1775
1918.74,2019-07-01,31,1795
2319.25,2019-08-01,41,2172
1712.6,2019-09-01,31,1604
867.1,2019-10-01,13,812
624.32,2019-11-01,14,584
89.89,2019-12-01,2,84
132.79,2020-01-01,3,124
90.01,2020-02-01,2,84
0,2020-03-01,0,0
0,2020-04-01,0,0
0,2020-05-01,0,0
0,2020-06-01,0,0
0,2020-07-01,0,0
0,2020-08-01,0,0
0,2020-09-01,0,0
0,2020-10-01,0,0
0,2020-11-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,0,0
0,2021-03-01,0,0
0,2021-04-01,0,0
0,2021-05-01,0,0
0,2021-06-01,0,0
