actual_cost,date,items,quantity
180643.06,2016-07-01,3660,169159
182650.73,2016-08-01,3674,171069
191678.36,2016-09-01,3816,179824
189179.15,2016-10-01,3732,177574
192910.76,2016-11-01,3919,180862
198975.18,2016-12-01,4028,186657
183163.5,2017-01-01,3726,171492
169714.29,2017-02-01,3444,159029
191997.05,2017-03-01,3844,180190
166551.38,2017-04-01,3363,156030
174583.47,2017-05-01,3529,163769
173223.2,2017-06-01,3436,162671
147442.98,2017-07-01,2932,138448
86691.07,2017-08-01,1766,81303
52829.92,2017-09-01,1069,49584
34496.74,2017-10-01,721,32405
27810.4,2017-11-01,548,26086
21942.61,2017-12-01,460,20571
18386.89,2018-01-01,385,17234
15966.31,2018-02-01,328,14946
15720.61,2018-03-01,322,14728
15530.01,2018-04-01,311,14539
14532.22,2018-05-01,288,13609
12422.82,2018-06-01,248,11629
12357.02,2018-07-01,237,11561
11666.65,2018-08-01,220,10927
10381.94,2018-09-01,184,9723
10617.96,2018-10-01,198,9954
9999.27,2018-11-01,184,9366
9957.69,2018-12-01,177,9323
10299.63,2019-01-01,181,9644
9131.09,2019-02-01,159,8545
8250.09,2019-03-01,154,7717
8890.32,2019-04-01,158,8316
8878.41,2019-05-01,163,8308
7276.1,2019-06-01,137,6804
9264.36,2019-07-01,174,8661
8300.47,2019-08-01,161,7769
8491.01,2019-09-01,160,7947
7389.56,2019-10-01,136,6916
7439.89,2019-11-01,141,6957
7411.79,2019-12-01,136,6930
6995.12,2020-01-01,128,6538
6177.97,2020-02-01,112,5768
7377.01,2020-03-01,134,6902
6978.6,2020-04-01,131,6524
6179.82,2020-05-01,119,5778
6496.38,2020-06-01,132,6076
5925.97,2020-07-01,109,5544
6171.77,2020-08-01,119,5768
5881.09,2020-09-01,122,5502
6452.64,2020-10-01,127,6040
5696.46,2020-11-01,124,5320
6002.32,2020-12-01,124,5607
5556.92,2021-01-01,118,5187
5328.91,2021-02-01,113,4970
7108.16,2021-03-01,148,6636
5547.32,2021-04-01,121,5173
5435.51,2021-05-01,112,5068
5799.82,2021-06-01,118,5411
