actual_cost,date,items,quantity
3070.02,2016-07-01,138,18067
2804.78,2016-08-01,132,16508
3298.23,2016-09-01,149,19423
3017,2016-10-01,138,17776
3115.24,2016-11-01,149,18340
3303.22,2016-12-01,148,19463
2564.28,2017-01-01,128,15088
3179.19,2017-02-01,146,18695
2759.1,2017-03-01,136,16248
2816.8,2017-04-01,135,16564
3203.22,2017-05-01,155,18851
3706.74,2017-06-01,163,21852
2965.84,2017-07-01,148,17474
3491.95,2017-08-01,165,20556
3461.38,2017-09-01,172,20395
4287.35,2017-10-01,195,25293
3904.92,2017-11-01,207,22998
3683.99,2017-12-01,190,21686
3470.5,2018-01-01,197,20421
3329.53,2018-02-01,179,19570
3636.78,2018-03-01,187,21391
3242.75,2018-04-01,173,19058
3575.6,2018-05-01,164,21011
3419.33,2018-06-01,152,20086
3122.95,2018-07-01,149,18329
3380.19,2018-08-01,156,19864
3071.3,2018-09-01,138,18049
3386.45,2018-10-01,151,19923
3577.57,2018-11-01,163,21020
2870.84,2018-12-01,136,16862
3161.5,2019-01-01,153,18568
2981.06,2019-02-01,134,17506
2633.4,2019-03-01,127,15443
2813.11,2019-04-01,123,16501
2496.2,2019-05-01,138,14633
2721.11,2019-06-01,109,15960
2599.56,2019-07-01,129,15231
3032.35,2019-08-01,144,17799
2940.07,2019-09-01,142,17253
3314.8,2019-10-01,147,19460
3255.15,2019-11-01,160,19089
3147.39,2019-12-01,165,18459
3060.61,2020-01-01,164,17936
3041.12,2020-02-01,157,17809
3926.78,2020-03-01,204,23039
3216.4,2020-04-01,181,18855
3347.65,2020-05-01,178,19623
3350.19,2020-06-01,186,19648
3943.7,2020-07-01,198,23144
3755.48,2020-08-01,192,22021
3670.18,2020-09-01,187,21536
3808.29,2020-10-01,194,22364
3377.89,2020-11-01,168,19796
4037.72,2020-12-01,210,23669
4162.29,2021-01-01,203,24382
3965.17,2021-02-01,189,23212
3737.98,2021-03-01,195,21892
3102.26,2021-04-01,167,18139
2946,2021-05-01,154,17218
2968.14,2021-06-01,148,17354
