actual_cost,date,items,quantity
2377.74,2016-05-01,22,2616
3085.67,2016-06-01,23,3392
2547.57,2016-07-01,24,2800
2063.06,2016-08-01,20,2268
2665.97,2016-09-01,21,2932
2348.26,2016-10-01,20,2584
2273.98,2016-11-01,20,2500
1978.16,2016-12-01,20,2176
2347.32,2017-01-01,19,2580
1555.35,2017-02-01,17,1708
3119.56,2017-03-01,26,3432
2350.93,2017-04-01,22,2583
2789.91,2017-05-01,24,3068
2207.04,2017-06-01,24,2429
3292.36,2017-07-01,27,3624
1521.83,2017-08-01,16,1673
2622.78,2017-09-01,28,2885
2731.25,2017-10-01,23,3008
2562.15,2017-11-01,26,2817
2708.36,2017-12-01,29,2976
2293.48,2018-01-01,22,2520
3189.2,2018-02-01,26,3500
2171.59,2018-03-01,25,2384
2949.12,2018-04-01,27,3236
1869.68,2018-05-01,19,2052
2165.82,2018-06-01,23,2376
3611.28,2018-07-01,30,3960
1844.19,2018-08-01,20,2024
3098.14,2018-09-01,27,3400
1554.89,2018-10-01,17,1708
2664.11,2018-11-01,25,2924
2358.97,2018-12-01,23,2588
2599.62,2019-01-01,25,2852
1339.27,2019-02-01,17,1468
2751.26,2019-03-01,23,3016
1741.2,2019-04-01,20,1908
2415.28,2019-05-01,24,2648
2346.72,2019-06-01,23,2571
1948.67,2019-07-01,22,2134
2832.01,2019-08-01,27,3106
1512.37,2019-09-01,20,1658
2940.49,2019-10-01,30,3224
1769.13,2019-11-01,20,1938
2775.35,2019-12-01,28,3040
1647.88,2020-01-01,20,1804
2656.79,2020-02-01,27,2906
2532.66,2020-03-01,26,2776
1839.46,2020-04-01,23,2014
2492.43,2020-05-01,28,2730
2600.26,2020-06-01,28,2850
2823.39,2020-07-01,31,3094
2538.28,2020-08-01,23,2780
2975.8,2020-09-01,36,3262
2250.86,2020-10-01,28,2468
2580.67,2020-11-01,33,2824
2976.29,2020-12-01,34,3258
2074.24,2021-01-01,30,2268
3367.3,2021-02-01,39,3680
2377.17,2021-03-01,30,2600
2500.5,2021-04-01,33,2732
