actual_cost,date,items,quantity
1915664.33,2016-07-01,33780,1795138
1947001.19,2016-08-01,34425,1824745
1945354.47,2016-09-01,34318,1823897
1879118.87,2016-10-01,33083,1762728
1922165.47,2016-11-01,33895,1801786
1949594.91,2016-12-01,34082,1828756
1825629.71,2017-01-01,32085,1710451
1682472.2,2017-02-01,29591,1575689
1908770.94,2017-03-01,33729,1790364
1684405.34,2017-04-01,29816,1577874
1808926.17,2017-05-01,31828,1695954
1794165.43,2017-06-01,31667,1683907
1818730.96,2017-07-01,31734,1706837
317411.49,2017-08-01,38627,2073814
253591.07,2017-09-01,42737,2323548
349613.74,2017-10-01,48219,2586195
300030.01,2017-11-01,51139,2758750
216063.22,2017-12-01,53665,2909392
195206.5,2018-01-01,56063,3030061
181939.06,2018-02-01,52200,2803289
206427.8,2018-03-01,59185,3186692
284057.65,2018-04-01,58772,3170119
302003.59,2018-05-01,62477,3391674
302339.6,2018-06-01,62914,3398637
228750.27,2018-07-01,65080,3511729
270013.37,2018-08-01,67651,3627459
258691.95,2018-09-01,64339,3474305
237939.58,2018-10-01,71969,3878961
208471.56,2018-11-01,70711,3816395
212795.78,2018-12-01,71261,3896656
219250.84,2019-01-01,74326,4044616
190668.22,2019-02-01,64616,3509915
206508.71,2019-03-01,70771,3852512
195209.75,2019-04-01,71066,3846026
210104.72,2019-05-01,77022,4165727
196171.94,2019-06-01,71022,3874734
200650.76,2019-07-01,74753,4049874
239202.11,2019-08-01,79383,4341358
223814.27,2019-09-01,74889,4083135
216745.23,2019-10-01,80696,4385115
209085.26,2019-11-01,77804,4229335
217907.38,2019-12-01,80890,4415179
208452.44,2020-01-01,82439,4504670
191826.39,2020-02-01,75417,4128931
218596.55,2020-03-01,84691,4730490
196898.95,2020-04-01,82712,4570903
191093.35,2020-05-01,79662,4428783
222167.54,2020-06-01,83227,4625354
223460.41,2020-07-01,87314,4878084
201241.16,2020-08-01,79437,4406021
220424.32,2020-09-01,86722,4844177
206715.11,2020-10-01,87910,4908154
198731.29,2020-11-01,84786,4734769
219238.94,2020-12-01,93161,5212371
386486.08,2021-01-01,86970,4891556
370057.7,2021-02-01,82981,4648422
413816.97,2021-03-01,94055,5280437
411925.17,2021-04-01,91936,5175628
346239.91,2021-05-01,87641,4942866
511084.38,2021-06-01,94037,5295543
