actual_cost,date,items,quantity
0,2016-05-01,0,0
0,2016-06-01,0,0
0,2016-07-01,0,0
0,2016-08-01,0,0
0,2016-09-01,0,0
0,2016-10-01,0,0
0,2016-11-01,0,0
0,2016-12-01,0,0
0,2017-01-01,0,0
0,2017-02-01,0,0
0,2017-03-01,0,0
0,2017-04-01,0,0
0,2017-05-01,0,0
0,2017-06-01,0,0
0,2017-07-01,0,0
0,2017-08-01,0,0
0,2017-09-01,0,0
0,2017-10-01,0,0
0,2017-11-01,0,0
0,2017-12-01,0,0
0,2018-01-01,0,0
0,2018-02-01,0,0
0,2018-03-01,0,0
0,2018-04-01,0,0
0,2018-05-01,0,0
0,2018-06-01,0,0
0,2018-07-01,0,0
0,2018-08-01,0,0
0,2018-09-01,0,0
0,2018-10-01,0,0
0,2018-11-01,0,0
0,2018-12-01,0,0
0,2019-01-01,0,0
0,2019-02-01,0,0
0,2019-03-01,0,0
0,2019-04-01,0,0
0,2019-05-01,0,0
0,2019-06-01,0,0
0,2019-07-01,0,0
0,2019-08-01,0,0
0,2019-09-01,0,0
0,2019-10-01,0,0
0,2019-11-01,0,0
0,2019-12-01,0,0
0,2020-01-01,0,0
0,2020-02-01,0,0
32.14,2020-03-01,8,476
110.99,2020-04-01,28,1638
290.45,2020-05-01,85,4562
310.4,2020-06-01,79,4916
518.74,2020-07-01,145,8182
696.37,2020-08-01,195,10977
1036.63,2020-09-01,283,16358
1187.66,2020-10-01,351,18725
1903.92,2020-11-01,561,29954
2272.03,2020-12-01,679,35731
2263.46,2021-01-01,636,35663
2282.31,2021-02-01,598,35986
2907.93,2021-03-01,763,45942
2697.06,2021-04-01,850,49472
