actual_cost,date,items,quantity
6583.67,2016-07-01,204,8750
7203.45,2016-08-01,220,9576
9203.72,2016-09-01,272,12240
10706.29,2016-10-01,342,14242
13245.55,2016-11-01,404,17609
15850.91,2016-12-01,506,21080
16610.34,2017-01-01,510,22073
15517.56,2017-02-01,488,20610
19103.81,2017-03-01,584,25413
16653.07,2017-04-01,533,22121
16765.42,2017-05-01,550,22286
19212.7,2017-06-01,615,25568
16985.54,2017-07-01,569,22597
12645.33,2017-08-01,440,16801
599.86,2017-09-01,303,11301
2220.55,2017-10-01,244,9718
1350.54,2017-11-01,226,9032
1121.15,2017-12-01,233,7454
897.64,2018-01-01,170,5981
849.04,2018-02-01,142,5664
376.13,2018-03-01,171,6408
429.74,2018-04-01,141,4922
411.2,2018-05-01,128,4367
405.28,2018-06-01,118,4312
280.54,2018-07-01,87,3156
261.23,2018-08-01,69,2961
18.56,2018-09-01,5,210
4.89,2018-10-01,1,56
0,2018-11-01,0,0
0,2018-12-01,0,0
0,2019-01-01,0,0
0,2019-02-01,0,0
0,2019-03-01,0,0
0,2019-04-01,0,0
0,2019-05-01,0,0
0,2019-06-01,0,0
0,2019-07-01,0,0
0,2019-08-01,0,0
0,2019-09-01,0,0
0,2019-10-01,0,0
0,2019-11-01,0,0
0,2019-12-01,0,0
0,2020-01-01,0,0
0,2020-02-01,0,0
0,2020-03-01,0,0
0,2020-04-01,0,0
0,2020-05-01,0,0
0,2020-06-01,0,0
0,2020-07-01,0,0
0,2020-08-01,0,0
0,2020-09-01,0,0
0,2020-10-01,0,0
0,2020-11-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,0,0
0,2021-03-01,0,0
0,2021-04-01,0,0
0,2021-05-01,0,0
0,2021-06-01,0,0
